country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Arab Emirates,8920,8860,8910,9120,9050,9340,8890,9100,10000,10.3k,10.3k,10.5k,10.7k,11.9k,12.5k,12.7k,13.1k,13.5k,13.3k,12.9k,13.2k,11.8k,12.8k,11.3k,10.8k,11k,11.1k,11.6k,12k,12.6k,13.8k,13.8k,14.2k,14.1k,14.1k
Argentina,1500,1600,1670,1660,1580,1560,1630,1670,1820,1910,1930,1980,2030,2060,2210,2410,2420,2240,2420,2600,2720,2890,2860,3040,3020,3080,3130,3260,3300,3250,3380,3380,3310,3310,3120
Australia,7900,8140,8390,8710,9060,9180,9190,9270,9400,9560,9740,9900,10.3k,10.7k,11k,11.4k,11.7k,11.5k,11.5k,11.5k,11.4k,11.6k,11.6k,11.5k,11.5k,11.3k,11.4k,10.9k,10.7k,10.5k,10.7k,10.7k,10.5k,10.6k,10.5k
Austria,5850,5860,6610,6400,6530,6530,6620,6540,6670,6710,7080,6840,7080,7140,7500,7660,7690,7680,7410,7890,8090,7770,7800,8020,8250,8450,7790,8510,7950,7560,7480,7760,8020,7650,8200
Azerbaijan,3110,3180,3320,3360,3270,3200,3190,2640,2510,2290,2190,2170,2120,2250,2260,2300,2310,2260,2550,2570,2680,2840,2500,2450,2110,2070,2220,2480,2490,2600,2570,2560,2470,2530,2620
Belgium,5780,5910,6370,6560,6770,7090,7170,7170,7000,7110,7300,7450,7710,8130,8240,8170,7740,7920,8120,8170,8250,8060,8300,7880,8400,8700,8190,7480,7480,6470,6180,7550,7590,6530,8110
Bangladesh,49.9,51.5,58.4,66.6,70.7,74.9,78.3,82.4,83.4,86.8,93.8,97.5,98.7,105,115,124,134,141,146,180,190,210,217,237,255,277,296,322,356,372,396,443,460,503,550
Bulgaria,4640,4660,4850,5040,4980,4770,4660,4100,4430,4500,4990,5150,5210,5130,4740,5120,5540,5430,5460,5370,5770,6010,5710,5990,5750,6280,6880,6450,6010,6550,6840,6330,6420,6640,6190
Belarus,3350,3640,3740,3780,3800,3890,3810,3700,3290,3110,2470,2360,2600,2360,2670,2640,2550,2710,2750,3250,3240,3340,3360,3710,3220,3700,3420,3270,3340,3680,3630,3550,3650,4120,4280
Brazil,1430,1460,1440,1500,1520,1500,1550,1570,1610,1630,1700,1770,1840,1900,1940,2000,1850,1930,2000,2110,2170,2230,2340,2410,2400,2640,2690,2770,2840,2910,2840,2810,2840,2870,2960
