country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Arab Emirates,2.98,4.44,3.78,3.69,3.12,2.54,2.55,4.45,5.73,5.5,6.18,6.77,6.84,5.71,7.13,8.12,8.82,9.23,8.94,9.9,9.22,10.3,9.05,8.87,9.43,10.9,11.2,11.4,11,10.9,10.3,9.99,10.5,10.1,9.54,8.73,7.72,6.83,5.94,5.17,5.03,4.9,4.98,4.98,4.94,5.45,5.54,5.65,5.48,5.5
Argentina,0.211,0.224,0.21,0.225,0.238,0.249,0.234,0.237,0.241,0.22,0.252,0.258,0.284,0.375,0.379,0.384,0.422,0.406,0.474,0.494,0.457,0.504,0.501,0.53,0.541,0.6,0.686,0.642,0.686,0.793,0.848,0.833,0.801,0.901,0.975,0.981,0.981,0.945,0.919,0.856,0.82,0.785,0.756,0.704,0.695,0.708,0.737,0.727,0.764,0.799
Australia,0.116,0.17,0.241,0.301,0.339,0.36,0.42,0.474,0.505,0.575,0.652,0.698,0.671,0.719,0.699,0.735,0.79,0.794,0.8,0.911,1.04,1.08,1.15,1.19,1.35,1.41,1.4,1.39,1.4,1.41,1.41,1.46,1.46,1.48,1.55,1.63,1.7,1.76,1.68,1.85,2.1,2.12,2.23,2.29,2.43,2.73,3.42,3.95,4.49,5.24
Azerbaijan,,,,,,,,,,,,,,,,1.77,1.68,1.52,1.42,1.31,1.15,0.98,0.886,0.752,0.698,0.712,0.627,0.592,0.548,0.583,0.545,0.529,0.486,0.48,0.462,0.563,0.657,1.04,1.55,1.53,1.55,1.5,1.56,1.6,1.66,1.68,1.61,1.55,1.65,2.08
Bangladesh,0,0,0.00567,0.00773,0.00836,0.00825,0.0106,0.0116,0.0124,0.0139,0.0152,0.0143,0.0181,0.0196,0.0221,0.0244,0.0268,0.0307,0.0352,0.0363,0.0381,0.0384,0.0409,0.0448,0.0465,0.0503,0.0529,0.0509,0.0539,0.0576,0.061,0.067,0.0693,0.0732,0.0775,0.082,0.0876,0.0924,0.0976,0.11,0.112,0.113,0.121,0.124,0.128,0.142,0.144,0.143,0.142,0.151
Bahrain,2.63,3.7,4.44,6.02,7.06,7.02,6.91,7.02,7.22,7.56,5.84,5.21,7.98,8.14,8.17,9.68,10.7,10.1,10.3,10.4,10.5,9.77,11.1,11.6,11.6,11.5,11.5,12.1,12.3,12.3,11.9,11.8,11.6,11.1,9.61,9.84,9.66,9.3,9.27,8.8,8.61,8.49,8.63,9.13,9.46,9.25,8.69,8.33,8.02,8.85
Bolivia,0.00803,0.00786,0.205,0.309,0.317,0.305,0.308,0.318,0.306,0.328,0.393,0.411,0.418,0.393,0.37,0.36,0.359,0.367,0.38,0.393,0.393,0.382,0.34,0.332,0.351,0.343,0.34,0.281,0.287,0.227,0.319,0.456,0.573,0.646,0.893,1.08,1.14,1.2,1.22,1.03,1.17,1.27,1.42,1.6,1.63,1.55,1.46,1.4,1.29,1.12
Brazil,0.00073,0.00114,0.00151,0.00169,0.00317,0.00337,0.0038,0.00461,0.00593,0.00634,0.00724,0.00635,0.00886,0.0117,0.0133,0.0164,0.0187,0.0204,0.0202,0.0203,0.0181,0.0185,0.0207,0.0238,0.0256,0.0278,0.0299,0.032,0.033,0.0382,0.0379,0.0382,0.0456,0.0489,0.0531,0.0519,0.0524,0.0523,0.0644,0.0544,0.066,0.075,0.0856,0.0939,0.099,0.1,0.101,0.112,0.103,0.105
Brunei,1.42,1.34,2.63,11,22.8,28.7,36.4,40.2,38,38.5,37.4,35.1,34,34.4,33.9,32.1,31.3,30.3,30.6,29.2,28.9,28.5,29.8,30.7,30.1,33.2,32.1,31.4,28.3,28.9,28.4,28.1,27.7,29.3,28.5,27.6,28.5,27.4,26.9,24.9,26.5,27.3,26.4,25.3,26.6,27.5,26.5,26,25.2,25.8
Canada,2.17,2.34,2.6,2.74,2.64,2.66,2.65,2.75,2.63,2.74,2.51,2.4,2.49,2.32,2.52,2.69,2.49,2.66,3.03,3.18,3.23,3.36,3.65,3.98,4.26,4.5,4.49,4.62,4.74,4.84,4.96,5,4.98,4.81,4.78,4.79,4.74,4.56,4.29,3.95,3.77,3.76,3.7,3.7,3.83,3.84,4.06,4.11,4.15,3.98
China,0.00301,0.00382,0.00482,0.00583,0.00718,0.00828,0.00928,0.011,0.0122,0.0127,0.0124,0.0109,0.0101,0.0101,0.0102,0.0104,0.0109,0.0108,0.0109,0.0113,0.0113,0.0112,0.0113,0.0119,0.0124,0.0125,0.0139,0.0156,0.0159,0.017,0.0183,0.0202,0.0216,0.0231,0.0272,0.0321,0.0379,0.0446,0.0514,0.0543,0.0607,0.0663,0.0693,0.0752,0.0806,0.0829,0.0839,0.0903,0.0973,0.106
Colombia,0.05,0.0508,0.0607,0.0615,0.0626,0.0533,0.0529,0.0587,0.0762,0.0851,0.089,0.0954,0.0995,0.107,0.107,0.106,0.102,0.105,0.0992,0.0983,0.102,0.099,0.0994,0.0955,0.0967,0.0995,0.105,0.129,0.145,0.126,0.124,0.127,0.126,0.119,0.125,0.13,0.135,0.143,0.169,0.194,0.206,0.199,0.215,0.245,0.226,0.21,0.215,0.216,0.223,0.225
Germany,0.131,0.162,0.193,0.216,0.225,0.209,0.215,0.214,0.222,0.223,0.203,0.208,0.183,0.203,0.2,0.189,0.155,0.173,0.161,0.167,0.163,0.167,0.168,0.166,0.173,0.178,0.193,0.189,0.185,0.197,0.187,0.188,0.188,0.195,0.18,0.174,0.172,0.158,0.145,0.135,0.118,0.111,0.1,0.0911,0.0853,0.0791,0.0724,0.0663,0.0573,0.0549
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406,0.197,0.334,0.425,0.419,0.537,0.547,0.685,0.712,0.778,0.839,0.905,1.1,1.33,1.28,1.31,1.37,1.4,1.42,1.34,1.57,1.73,1.71,1.51,1.64,1.36,1.32,1.06,0.918,0.758,0.729,0.725,0.708,0.758,0.642,0.477
Algeria,0.145,0.149,0.183,0.237,0.266,0.319,0.39,0.363,0.546,0.869,0.689,0.775,0.98,1.36,1.34,1.43,1.42,1.56,1.58,1.66,1.72,1.81,1.85,1.83,1.65,1.84,1.92,2.16,2.28,2.53,2.55,2.36,2.4,2.5,2.42,2.2,2.08,2.05,2.04,1.86,1.85,1.87,1.8,1.79,1.77,1.76,1.94,1.93,1.91,1.72
Egypt,0.00204,0.00199,0.00163,0.00128,0.00132,0.00107,0.00798,0.00944,0.0148,0.0219,0.0417,0.0455,0.0485,0.0554,0.0694,0.0828,0.0929,0.1,0.107,0.117,0.119,0.131,0.139,0.156,0.164,0.166,0.173,0.173,0.175,0.206,0.252,0.297,0.316,0.342,0.368,0.466,0.589,0.589,0.613,0.639,0.613,0.602,0.583,0.525,0.447,0.396,0.366,0.435,0.512,0.556
United Kingdom,0.169,0.281,0.404,0.438,0.527,0.548,0.58,0.606,0.58,0.586,0.557,0.556,0.565,0.582,0.568,0.633,0.664,0.694,0.666,0.651,0.716,0.795,0.807,0.946,1.01,1.1,1.3,1.33,1.39,1.52,1.66,1.61,1.57,1.56,1.45,1.32,1.18,1.06,1.01,0.838,0.785,0.619,0.522,0.489,0.492,0.531,0.541,0.54,0.519,0.505
Indonesia,0.00958,0.0111,0.00801,0.0121,0.0122,0.0156,0.0153,0.036,0.0675,0.0956,0.11,0.109,0.108,0.12,0.159,0.171,0.174,0.183,0.196,0.202,0.211,0.228,0.237,0.243,0.272,0.269,0.279,0.283,0.274,0.293,0.287,0.275,0.299,0.309,0.291,0.29,0.283,0.269,0.273,0.281,0.309,0.29,0.271,0.265,0.257,0.253,0.247,0.236,0.234,0.215
India,0.00098,0.00102,0.00109,0.00106,0.00117,0.00147,0.00174,0.00182,0.00198,0.00241,0.00139,0.00238,0.00305,0.00354,0.00396,0.00474,0.00648,0.0073,0.00837,0.00974,0.0114,0.0125,0.0137,0.0136,0.0144,0.0161,0.0173,0.0184,0.0199,0.02,0.0206,0.0203,0.0209,0.022,0.0214,0.0214,0.0208,0.021,0.021,0.0255,0.033,0.0295,0.0253,0.0209,0.0195,0.0185,0.0173,0.0178,0.0175,0.0169
Iran,0.105,0.248,0.326,0.35,0.354,0.358,0.354,0.348,0.211,0.196,0.101,0.105,0.139,0.152,0.17,0.176,0.162,0.191,0.2,0.245,0.377,0.435,0.452,0.238,0.372,0.446,0.517,0.536,0.598,0.703,0.738,0.81,0.951,0.986,1.14,1.19,1.28,1.42,1.47,1.6,1.68,1.74,1.79,1.77,1.95,2.01,2.15,2.34,2.51,2.53
