country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,0.114,0.109,0.093,0.13,0.424,0.86,0.947,1.13,1.26,1.26,1.11,1.04,0.937,0.83,0.894,0.891,0.828,0.716,0.947,1.05,1.15,1.35,1.64,2.02,1.98,1.97,2,2.15,1.9,2.03,2.24,2.46,2.45,2.34,2.31,2.25,2.16,2.55,2.36,2.91,3.21,3.41,3.88,4.25,3.82,3.81,3.39,3.4,3.28,3.09,3.16,2.97,2.74,2.4,2.17
United Arab Emirates,91.2,109,109,132,150,161,185,176,188,174,147,147,132,106,95.2,82.2,67.6,55.3,49.4,44.9,41,44.7,44.5,44.3,49.3,50.9,55.2,57.3,52.6,50.3,47.4,46,43.9,43.2,37.8,38.8,35.9,31.3,34,32.3,29.8,27.5,23.3,20.5,16.3,15.8,16.8,17.1,17.7,17.7,19,19.5,18.6,18.3,18.4
Argentina,0.621,0.651,0.699,0.755,0.77,0.838,0.889,0.901,0.862,0.83,0.783,0.777,0.827,0.858,0.884,0.906,0.908,0.888,0.877,0.845,0.8,0.745,0.724,0.749,0.754,0.78,0.782,0.866,0.915,1,1.08,1.16,1.22,1.22,1.14,1.12,1.18,1.15,1.13,1.07,1.01,1,0.963,0.943,0.841,0.814,0.755,0.739,0.715,0.699,0.698,0.658,0.62,0.621,0.644
Australia,0.0306,0.0384,0.0873,0.158,0.178,0.68,1.17,1.23,1.52,1.48,1.57,1.59,1.66,1.63,1.61,1.5,1.44,1.4,1.34,1.72,1.96,1.72,1.8,1.68,1.56,1.79,1.66,1.62,1.49,1.59,1.48,1.54,1.62,1.52,1.46,1.95,1.79,1.76,1.5,1.3,1.26,1.15,1.17,1.13,1.03,1.11,0.955,0.934,0.766,0.809,0.71,0.643,0.608,0.609,0.818
Azerbaijan,,,,,,,,,,,,,,,,,,,,,1.98,1.93,2.02,1.96,1.85,1.73,1.6,1.5,1.35,1.24,1.18,1.16,1.14,1.43,1.72,1.73,1.83,1.85,1.84,1.83,2.6,3.74,4.97,5.14,5.7,5.68,5.04,4.72,4.67,4.47,4.37,4.26,3.97,3.94,3.79
Brazil,0.0605,0.0719,0.088,0.0942,0.1,0.0924,0.0944,0.0904,0.0895,0.0912,0.0868,0.0826,0.0777,0.0755,0.0764,0.0819,0.0934,0.111,0.138,0.189,0.218,0.224,0.219,0.21,0.22,0.229,0.222,0.222,0.223,0.227,0.231,0.258,0.273,0.31,0.345,0.384,0.396,0.438,0.448,0.44,0.478,0.5,0.5,0.514,0.545,0.569,0.576,0.562,0.546,0.604,0.647,0.661,0.685,0.669,0.714
Brunei,38.7,44.4,45.9,51.5,49.8,52.1,47.2,63.8,77,62.8,56.7,63.2,63.5,64.8,67.9,60.4,42.3,42.1,41.2,38.6,36.4,34.9,31.8,30,29,28.6,30.1,32.6,30.3,30.2,28.7,26.5,25.5,24,27.3,28.5,29.3,29.7,29.7,28.7,27.6,29.2,25.3,22.6,21.4,21.7,20.5,19.5,16.3,15,14.9,14,12.9,12.6,13.6
Canada,2.24,2.41,2.59,2.76,2.96,3.28,3.46,3.93,4.48,4.15,3.54,3.22,3.2,3.15,3.57,3.41,3.06,2.99,3.12,3.29,3.33,3.29,3.42,3.55,3.41,3.37,3.34,3.44,3.58,3.7,3.84,3.92,4.06,4.17,3.99,4.33,4.31,4.47,4.67,4.76,4.62,4.83,4.91,4.76,4.69,4.85,5.07,5.38,5.68,6.05,6.21,6.23,6.69,7.24,7.35
China,0.0156,0.0196,0.0182,0.0204,0.027,0.037,0.0464,0.0525,0.0603,0.0714,0.0832,0.0925,0.0978,0.107,0.108,0.106,0.0998,0.0993,0.102,0.108,0.116,0.119,0.12,0.12,0.119,0.118,0.118,0.118,0.118,0.119,0.12,0.127,0.127,0.126,0.125,0.126,0.127,0.128,0.129,0.132,0.136,0.138,0.138,0.141,0.139,0.148,0.147,0.15,0.151,0.151,0.153,0.141,0.135,0.132,0.133
"Congo, Rep.",0.0614,0.0522,0.041,0.0343,0.0186,0.0143,0.0103,0.239,1.44,1.65,1.16,1.33,1.01,1.45,1.6,1.78,2.24,2.42,2.76,3.02,2.89,2.82,2.91,3.15,3.47,3.41,3.32,3.47,3.73,3.63,3.42,3.72,4.04,4.61,4.52,4.32,3.9,3.64,3.23,3.27,3.47,3.79,2.96,3.04,3.4,3.75,3.49,3.16,2.67,2.72,2.46,2.39,2.7,3.23,3.23
